outlet,count,total_count
News-Press Now,28,28
"KKTV-TV (Colorado Springs, CO)",27,27
"KCCI-TV (Des Moines, IA)",27,27
"KMIZ-TV (Columbia, MO)",27,27
"WTVG-TV (Toledo, OH)",27,27
"WBOY-TV (Clarksburg, WV)",27,27
"WZTV-TV (Nashville, TN)",27,27
"KUSI-TV (San Diego, CA)",27,27
Allure,27,27
Missoulian,27,27
Morningstar,27,27
"WHBQ-TV (Memphis, TN)",27,27
"WLUK-TV (Green Bay, WI)",27,27
Santa Fe New Mexican,27,27
Florida Today,27,27
Tablet Magazine,27,27
"WLUC-TV (Negaunee, MI)",27,27
"KABB-TV (San Antonio, TX)",27,27
"WTVA-TV (Tupelo, MS)",27,27
Paste Magazine,27,27
Marie Claire,26,26
Northeast Mississippi Daily Journal,26,26
FreightWaves,26,26
Santa Barbara Independent,26,26
NJTV,26,26
"WBTW-TV (Myrtle Beach, SC)",26,26
Taste Of Home,26,26
"The News-Gazette (Champaign, IL)",26,26
"WHEC-TV (Rochester, NY)",26,26
Honolulu Civil Beat,26,26
CBS,26,26
Idaho Statesman,26,26
Akron Beacon Journal,26,26
The Times of Northwest Indiana,26,26
"WHO-TV (Des Moines, IA)",26,26
Providence Journal,26,26
5280 Magazine,25,25
"KEYT-TV (Santa Barbara, CA)",25,25
"WLTX-TV (Columbia, SC)",25,25
Roanoke Times,25,25
Columbia Missourian,25,25
Post-Bulletin,25,25
The Commercial Appeal,25,25
"KOLO-TV (Reno, NV)",25,25
"WTTW-TV (Chicago, IL)",25,25
"KTUL-TV (Tulsa, OK)",25,25
"KLFY-TV (Lafayette, LA)",25,25
"KJRH-TV (Tulsa, OK)",25,25
"KITV-TV (Honolulu, HI)",25,25
The News Journal (Delaware Online),25,25
The Morning Call,25,25
The Federalist,25,25
New Hampshire Public Radio,25,25
"WATE-TV (Knoxville, TN)",25,25
New Hampshire Union Leader,25,25
"KOAT-TV (Albuquerque, NM)",25,25
The Daily Gazette,25,25
"WLRN-FM (Miami, FL)",25,25
"KXLY-TV (Spokane, WA)",25,25
"WTVH-TV (Syracuse, NY)",25,25
Harper's Magazine,25,25
Highsnobiety,25,25
Jacobin,24,24
"KSBW-TV (Salinas, CA)",24,24
VentureBeat,24,24
"KTTC-TV (Rochester, MN)",24,24
Consequence,24,24
Quad-City Times,24,24
"WITN-TV (Greenville, NC)",24,24
"WALA-TV (Mobile, AL)",24,24
Spectrum News Charlotte,24,24
Fresno Bee,24,24
Miami New Times,24,24
FiveThirtyEight,24,24
"WCBD-TV (Mount Pleasant, SC)",24,24
"WSET-TV (Lynchburg, VA)",24,24
Gothamist,24,24
The Lewiston Tribune,24,24
Tribune Democrat,24,24
"WBKO-TV (Bowling Green, KY)",24,24
Westword,24,24
NowThis,24,24
Wichita Eagle,24,24
the Grio,24,24
"KOLD-TV (Tucson, AZ)",23,23
The Journal Gazette,23,23
Chicago Reader,23,23
"KARK-TV (Little Rock, AR)",23,23
Observer,23,23
"KIFI-TV (Idaho Falls, ID)",23,23
"KOKH-TV (Oklahoma City, OK)",23,23
"WANE-TV (Fort Wayne, IN)",23,23
"WHYY-FM (Philadelphia, PA)",23,23
"KSLA-TV (Shreveport, LA)",23,23
"WTVC-TV ABC (Chattanooga, TN)",23,23
Ars Technica,23,23
Reading Eagle,23,23
Discovery Channel,23,23
"KPLC-TV (Lake Charles, LA )",23,23
Winston-Salem Journal,23,23
Morning Consult,23,23
The Herald Bulletin,23,23
